id,category,turn_1_score,turn_2_score,turn_3_score,turn_4_score
230,3,4,3,3,4
231,3,5,3,1,2
232,3,2,4,3,3
233,3,3,3,5,4
234,3,3,4,3,4
235,3,1,1,3,1
236,3,4,2,2,1
237,3,1,1,3,1
238,3,2,1,5,1
239,3,1,1,3,1
240,3,5,2,4,1
241,3,2,1,2,1
242,3,1,1,4,4
243,3,3,2,1,3
244,3,4,1,3,2
245,3,5,4,5,5
246,3,1,4,1,4
247,3,1,1,1,2
248,3,2,5,4,3
249,3,1,1,2,1
250,3,3,1,1,1
251,3,1,2,1,1
252,3,3,3,2,5
253,3,3,4,3,3
254,3,1,2,1,4
255,3,5,4,2,2
256,3,5,3,3,4
257,3,5,5,5,5
258,3,3,1,3,5
259,3,2,4,2,1
260,3,5,4,1,5
261,3,5,5,2,3
262,3,1,1,1,1
263,3,2,4,2,2
264,3,3,1,3,3
265,3,1,1,2,1
266,3,2,1,3,2
267,3,1,1,2,2
268,3,4,4,2,3
269,3,2,2,3,4
270,3,5,1,1,1
271,3,4,4,5,2
272,3,1,3,2,1
273,3,5,4,3,3
274,3,1,3,3,3
275,3,1,2,3,1
276,3,1,3,3,1
277,3,4,1,1,1
278,3,2,1,1,2
279,3,4,4,5,5
280,3,1,3,4,3
281,3,2,3,3,1
282,3,3,1,1,2
283,3,1,1,5,1
284,3,5,5,3,3
285,3,2,1,1,1
286,3,4,2,1,3
287,3,2,3,1,1
288,3,2,1,1,1
289,3,5,3,1,1
290,3,3,1,1,1
291,3,3,3,1,1
292,3,5,4,3,5
293,3,5,5,4,5
294,3,1,2,4,2
295,4,1,1,1,3
296,4,1,2,3,3
297,4,1,1,3,2
298,4,1,1,1,1
299,4,3,3,3,3
300,4,1,1,1,1
301,4,1,1,1,1
302,4,1,2,3,3
303,4,2,3,2,3
304,4,1,1,3,3
305,4,3,1,2,1
306,4,1,1,3,2
307,4,1,1,1,1
308,4,1,2,3,2
309,4,2,2,2,2
310,4,1,2,3,1
311,4,1,2,1,2
312,4,1,1,1,1
313,4,2,3,3,3
314,4,1,3,3,3
315,4,1,2,3,3
316,4,1,1,2,1
317,4,1,1,1,2
318,4,1,2,3,3
319,4,2,2,3,2
320,4,1,1,2,2
321,4,2,4,2,3
322,4,2,3,3,2
323,4,1,1,3,2
324,4,2,3,3,3
325,4,2,3,1,1
326,4,1,2,2,3
327,4,3,3,3,3
328,4,1,3,1,1
329,4,1,3,1,2
330,4,1,1,3,1
331,4,1,3,3,4
332,4,1,2,3,3
333,4,2,2,3,3
334,4,1,1,2,1
335,4,2,1,1,2
336,4,1,2,2,3
337,4,1,3,3,2
338,4,2,2,3,3
339,4,1,2,4,3
340,4,2,1,2,2
341,4,1,3,3,3
342,4,1,3,3,3
343,4,2,3,3,3
344,4,1,3,3,3
345,4,3,4,3,2
346,4,1,2,3,3
347,4,1,3,1,3
348,4,1,1,3,3
349,4,1,3,3,1
350,4,1,3,3,4
351,4,1,1,3,3
352,4,1,2,4,5
353,4,1,2,2,3
354,4,1,1,2,2
355,4,3,2,3,3
356,4,1,2,1,3
357,4,2,1,2,1
358,4,2,1,2,1
359,4,3,3,3,3
360,4,2,3,3,5
361,4,2,1,1,1
362,4,1,3,3,3
363,4,1,1,1,1
364,4,1,2,5,3
365,4,1,2,3,3
366,4,1,1,3,1
367,4,3,2,2,3
368,4,2,3,2,1
369,4,3,3,4,3
370,4,2,1,1,1
371,4,1,4,3,5
372,4,3,3,3,3
373,4,1,1,3,3
374,4,1,1,2,2
375,5,3,3,3,3
376,5,3,1,3,4
377,5,3,3,1,1
378,5,2,3,3,3
379,5,3,3,3,3
380,5,2,2,3,4
381,5,3,3,2,3
382,5,1,3,3,3
383,5,1,3,4,3
384,5,1,1,4,2
385,5,4,3,4,5
386,5,3,3,3,4
387,5,3,3,3,3
388,5,3,3,4,3
389,5,1,3,1,1
390,5,1,1,1,1
391,5,1,3,4,3
392,5,1,1,2,3
393,5,1,3,3,3
394,5,2,3,2,3
395,5,1,3,3,3
396,5,2,3,3,3
397,5,1,1,3,3
398,5,1,3,3,3
399,5,2,2,3,3
400,5,3,3,2,1
401,5,1,3,3,3
402,5,2,1,5,4
403,5,3,3,3,2
404,5,1,2,3,3
405,5,3,3,3,3
406,5,3,3,3,3
407,5,3,3,3,3
408,5,3,3,3,4
409,5,1,2,3,2
410,5,1,3,3,3
411,5,1,3,2,3
412,5,1,3,1,3
413,5,2,3,4,5
414,5,1,3,1,3
415,5,1,3,3,3
416,5,1,3,3,3
417,5,3,3,1,1
418,5,1,3,3,4
419,5,1,1,1,2
420,5,1,1,1,1
421,5,3,3,3,3
422,5,1,3,2,3
423,5,2,1,3,4
424,5,3,3,3,3
425,5,1,3,3,3
426,5,3,3,2,3
427,5,1,2,4,3
428,5,1,3,3,3
429,5,1,1,1,3
430,5,1,3,4,3
431,5,2,3,1,1
432,5,3,3,3,3
433,5,2,3,3,3
434,5,3,3,1,3
435,5,3,2,3,1
436,5,2,2,3,3
437,5,3,1,2,4
438,5,2,3,3,4
439,5,1,3,3,4
440,5,2,3,3,3
441,5,1,3,4,4
442,5,1,3,1,1
443,5,3,3,1,4
444,5,1,2,3,3
445,5,2,3,3,3
446,5,1,1,3,2
447,5,1,2,3,2
448,5,3,2,3,3
449,5,1,3,3,3
450,5,2,3,4,3
451,5,1,3,3,3
452,5,2,3,4,3
453,5,2,3,3,1
454,5,1,1,2,1
455,5,3,4,4,4
456,5,2,3,4,4
457,5,3,3,3,3
458,5,3,3,3,3
459,5,1,3,3,4
460,5,2,3,3,3
461,5,3,3,2,3
462,5,2,3,1,3
463,5,3,3,3,4
464,5,3,3,3,3
465,5,1,3,3,1
