id,category,turn_1_score,turn_2_score,turn_3_score,turn_4_score
150,2,3,4,1,3
151,2,3,5,4,1
152,2,4,1,1,1
153,2,3,1,1,1
154,2,3,1,1,4
155,2,2,3,3,1
156,2,4,2,1,1
157,2,3,4,5,3
158,2,3,1,2,3
159,2,4,3,5,2
160,2,2,4,1,1
161,2,3,3,3,2
162,2,2,2,5,3
163,2,3,4,3,3
164,2,3,1,1,2
165,2,3,5,1,1
166,2,3,2,1,1
167,2,3,1,4,1
168,2,4,1,1,5
169,2,2,1,3,1
170,2,3,2,1,2
171,2,3,1,1,1
172,2,3,2,2,3
173,2,3,3,2,3
174,2,2,1,1,1
175,2,3,1,1,1
176,2,3,3,2,1
177,2,3,1,2,2
178,2,3,1,2,2
179,2,2,4,4,1
180,2,3,2,1,1
181,2,3,4,1,1
182,2,3,1,3,3
183,2,3,1,2,4
184,2,3,3,3,1
185,2,3,4,2,1
186,2,4,5,2,3
187,2,1,3,2,3
188,2,3,4,1,3
189,2,3,5,3,3
190,2,3,3,3,3
191,2,3,4,1,1
192,2,3,3,1,1
193,2,3,2,3,4
194,2,4,4,1,1
195,2,2,3,5,2
196,2,2,3,3,3
197,2,3,3,1,3
198,3,3,1,2,2
199,3,1,5,3,3
200,3,1,4,2,1
201,3,1,1,2,2
202,3,1,1,3,2
203,3,1,1,2,2
204,3,1,3,3,1
205,3,1,1,1,2
206,3,1,1,2,2
207,3,1,4,1,3
208,3,1,5,3,3
209,3,1,1,1,2
210,3,3,1,1,1
211,3,1,5,2,3
212,3,2,2,1,2
213,3,1,1,1,1
214,3,3,5,1,1
215,3,2,3,1,1
216,3,1,3,1,3
217,3,1,1,1,1
218,3,3,1,1,1
219,3,3,3,4,2
220,3,1,1,1,2
221,3,2,2,2,3
222,3,1,1,2,1
223,3,3,5,1,1
224,3,1,3,1,1
225,3,2,5,1,1
226,3,4,1,1,2
227,3,1,1,1,2
228,3,1,1,1,2
229,3,1,1,1,1
230,3,3,3,1,2
231,3,5,3,5,3
232,3,1,1,1,1
233,3,4,1,1,2
234,3,1,3,3,1
235,3,1,3,1,3
236,3,1,5,3,1
237,3,1,1,2,1
238,3,1,5,1,1
239,3,1,1,1,1
240,3,5,1,5,4
241,3,1,4,5,3
242,3,1,1,2,1
243,3,1,4,3,2
244,3,2,4,1,3
245,3,5,1,2,1
246,3,1,1,2,3
247,3,2,1,1,2
248,3,4,2,1,2
249,3,1,4,1,2
250,3,1,1,1,2
251,3,2,1,1,1
252,3,1,5,5,3
253,3,2,1,1,1
254,3,1,1,1,2
255,3,5,4,1,2
256,3,1,5,2,1
257,3,1,3,1,1
258,3,3,1,1,2
259,3,2,1,5,4
260,3,1,1,1,1
261,3,5,1,1,1
262,3,1,5,1,1
263,3,1,1,1,1
264,3,3,1,1,2
265,3,2,2,1,2
266,3,1,5,1,1
267,3,1,1,2,1
268,3,4,4,2,5
269,3,2,1,3,1
270,3,4,5,1,1
271,3,3,1,1,1
272,3,1,3,1,1
273,3,5,1,2,5
274,3,1,1,1,2
275,3,1,3,1,1
276,3,1,3,1,1
277,3,4,1,1,2
278,3,1,5,3,1
279,3,5,4,1,1
280,3,1,5,2,2
281,3,1,5,1,1
282,3,1,5,3,2
283,3,1,1,2,1
284,3,5,4,1,4
285,3,1,1,5,3
286,3,3,1,1,2
287,3,1,4,1,1
288,3,1,1,1,2
289,3,4,3,3,3
290,3,1,1,1,2
291,3,2,1,1,1
292,3,5,3,3,2
293,3,5,3,3,1
294,3,1,1,1,2
295,4,1,1,2,1
296,4,1,3,3,3
297,4,1,3,1,2
298,4,1,1,2,3
299,4,3,3,1,1
300,4,1,1,1,2
301,4,1,4,4,3
302,4,1,1,1,1
303,4,1,1,1,1
304,4,1,3,3,3
305,4,1,3,1,3
306,4,1,1,1,1
307,4,1,1,1,2
308,4,1,1,1,2
309,4,1,1,1,2
310,4,1,1,1,1
311,4,1,3,2,2
312,4,1,4,1,2
313,4,1,3,1,3
314,4,1,1,1,3
315,4,1,3,1,1
316,4,1,3,1,1
317,4,1,1,4,1
318,4,1,2,3,2
319,4,1,1,5,3
320,4,1,3,3,3
321,4,2,3,2,3
322,4,3,2,1,1
323,4,1,3,1,3
324,4,3,3,2,2
325,4,1,2,1,2
326,4,1,4,2,1
327,4,3,2,1,4
328,4,1,3,1,1
329,4,1,1,1,2
330,4,1,1,1,1
331,4,1,3,1,3
332,4,1,2,1,1
333,4,3,3,2,3
334,4,1,4,3,2
335,4,1,4,3,4
336,4,3,3,1,1
337,4,1,3,1,3
338,4,1,1,1,1
339,4,1,1,1,2
340,4,1,3,1,2
341,4,1,1,2,1
342,4,1,3,1,1
343,4,1,3,3,1
344,4,1,1,3,2
345,4,3,1,1,3
346,4,1,3,1,2
347,4,1,3,2,1
348,4,1,1,1,1
349,4,1,1,1,1
350,4,1,3,2,2
351,4,1,1,1,1
352,4,1,1,1,1
353,4,1,2,2,3
354,4,1,3,1,2
355,4,1,3,3,3
356,4,3,3,3,3
357,4,1,1,1,1
358,4,1,3,1,1
359,4,3,3,3,4
360,4,2,1,3,3
361,4,1,4,2,3
362,4,1,3,1,3
363,4,1,1,1,1
364,4,3,1,1,1
365,4,1,4,1,1
366,4,1,3,1,3
367,4,1,1,2,2
368,4,2,3,3,1
369,4,3,1,1,1
370,4,1,1,1,3
371,4,1,3,3,3
372,4,3,2,2,1
373,4,1,2,1,3
374,4,1,1,2,2
375,5,3,2,1,2
376,5,3,4,3,2
377,5,3,2,1,1
378,5,3,2,1,2
379,5,3,3,1,1
380,5,1,2,1,1
381,5,1,1,1,1
382,5,1,4,2,3
383,5,1,3,3,3
384,5,2,3,3,2
385,5,4,3,1,1
386,5,1,2,1,2
387,5,3,2,1,3
388,5,1,2,2,3
389,5,1,1,1,3
390,5,1,3,3,1
391,5,1,1,3,2
392,5,1,3,2,3
393,5,1,1,1,1
394,5,3,2,1,1
395,5,1,2,3,3
396,5,1,4,1,1
397,5,1,1,1,3
398,5,1,3,3,3
399,5,1,1,3,3
400,5,3,3,2,3
401,5,1,2,1,1
402,5,3,3,1,3
403,5,3,2,2,1
404,5,1,3,2,2
405,5,2,4,3,1
406,5,3,3,3,3
407,5,2,1,1,1
408,5,3,3,3,1
409,5,1,4,3,2
410,5,1,1,1,3
411,5,2,4,3,3
412,5,1,4,1,1
413,5,2,3,2,2
414,5,1,3,3,3
415,5,1,3,3,3
416,5,1,3,3,3
417,5,3,1,1,1
418,5,1,3,3,1
419,5,1,3,2,2
420,5,1,3,3,3
421,5,3,3,1,2
422,5,2,1,1,1
423,5,3,2,2,1
424,5,3,3,2,3
425,5,1,3,1,1
426,5,1,3,2,2
427,5,3,2,1,1
428,5,1,3,3,3
429,5,1,2,2,3
430,5,1,3,3,3
431,5,3,3,3,3
432,5,3,3,1,1
433,5,3,3,3,1
434,5,3,3,1,3
435,5,2,3,3,2
436,5,1,3,3,3
437,5,1,1,1,1
438,5,1,3,3,3
439,5,1,1,1,1
440,5,3,4,3,3
441,5,1,1,1,2
442,5,1,3,2,2
443,5,3,1,1,1
444,5,1,1,1,1
445,5,1,3,1,3
446,5,1,3,3,3
447,5,3,3,3,3
448,5,1,1,3,1
449,5,1,3,3,3
450,5,2,2,1,1
451,5,1,3,3,3
452,5,3,1,1,3
453,5,1,2,3,2
454,5,1,3,3,3
455,5,3,3,1,1
456,5,1,4,1,2
457,5,2,3,2,3
458,5,1,3,3,3
459,5,1,3,3,1
460,5,1,3,2,3
461,5,2,3,2,1
462,5,3,3,3,3
463,5,1,3,2,2
464,5,1,2,1,2
465,5,1,4,3,3
